shape,weight,area,d,b,t,y,yp,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,ro,H
DBL_L12X12X1_3_8,210.0,62.2,12.0,12.0,1.38,3.5,1.3,826.0,176.0,97.2,3.64,1590.0,218.0,133.0,5.06,6.84,0.831
DBL_L12X12X1_3_8X3_4,210.0,62.2,12.0,12.0,1.38,3.5,1.3,826.0,176.0,97.2,3.64,1760.0,241.0,142.0,5.32,7.03,0.84
DBL_L12X12X1_3_8X1_1_2,210.0,62.2,12.0,12.0,1.38,3.5,1.3,826.0,176.0,97.2,3.64,1950.0,264.0,153.0,5.6,7.25,0.85
DBL_L12X12X1_1_4,193.0,56.8,12.0,12.0,1.25,3.45,1.18,762.0,161.0,89.2,3.66,1440.0,196.0,120.0,5.04,6.84,0.829
DBL_L12X12X1_1_4X3_4,193.0,56.8,12.0,12.0,1.25,3.45,1.18,762.0,161.0,89.2,3.66,1590.0,217.0,128.0,5.29,7.03,0.839
DBL_L12X12X1_1_4X1_1_2,193.0,56.8,12.0,12.0,1.25,3.45,1.18,762.0,161.0,89.2,3.66,1760.0,239.0,138.0,5.57,7.24,0.848
DBL_L12X12X1_1_8,174.0,51.6,12.0,12.0,1.13,3.41,1.08,700.0,147.0,81.4,3.68,1300.0,176.0,108.0,5.02,6.85,0.827
DBL_L12X12X1_1_8X3_4,174.0,51.6,12.0,12.0,1.13,3.41,1.08,700.0,147.0,81.4,3.68,1440.0,195.0,116.0,5.28,7.04,0.837
DBL_L12X12X1_1_8X1_1_2,174.0,51.6,12.0,12.0,1.13,3.41,1.08,700.0,147.0,81.4,3.68,1590.0,215.0,125.0,5.55,7.24,0.846
DBL_L12X12X1,156.0,46.0,12.0,12.0,1.0,3.36,0.958,630.0,132.0,73.0,3.7,1150.0,155.0,95.8,5.0,6.85,0.826
DBL_L12X12X1X3_4,156.0,46.0,12.0,12.0,1.0,3.36,0.958,630.0,132.0,73.0,3.7,1270.0,172.0,103.0,5.25,7.03,0.834
DBL_L12X12X1X1_1_2,156.0,46.0,12.0,12.0,1.0,3.36,0.958,630.0,132.0,73.0,3.7,1410.0,189.0,111.0,5.54,7.25,0.844
DBL_L10X10X1_3_8,174.0,51.2,10.0,10.0,1.38,3.0,1.28,462.0,120.0,66.0,3.0,923.0,154.0,92.3,4.25,5.69,0.835
DBL_L10X10X1_3_8X3_4,174.0,51.2,10.0,10.0,1.38,3.0,1.28,462.0,120.0,66.0,3.0,1050.0,173.0,101.0,4.53,5.9,0.847
DBL_L10X10X1_3_8X1_1_2,174.0,51.2,10.0,10.0,1.38,3.0,1.28,462.0,120.0,66.0,3.0,1180.0,192.0,110.0,4.8,6.12,0.858
DBL_L10X10X1_1_4,160.0,46.8,10.0,10.0,1.25,2.95,1.17,426.0,110.0,60.4,3.02,833.0,138.0,83.3,4.22,5.68,0.832
DBL_L10X10X1_1_4X3_4,160.0,46.8,10.0,10.0,1.25,2.95,1.17,426.0,110.0,60.4,3.02,943.0,156.0,90.9,4.49,5.89,0.844
DBL_L10X10X1_1_4X1_1_2,160.0,46.8,10.0,10.0,1.25,2.95,1.17,426.0,110.0,60.4,3.02,1070.0,173.0,99.5,4.78,6.11,0.855
DBL_L10X10X1_1_8,145.0,42.6,10.0,10.0,1.13,2.9,1.07,392.0,100.0,55.2,3.03,750.0,124.0,75.0,4.2,5.68,0.831
DBL_L10X10X1_1_8X3_4,145.0,42.6,10.0,10.0,1.13,2.9,1.07,392.0,100.0,55.2,3.03,849.0,140.0,81.8,4.46,5.88,0.842
DBL_L10X10X1_1_8X1_1_2,145.0,42.6,10.0,10.0,1.13,2.9,1.07,392.0,100.0,55.2,3.03,960.0,155.0,89.3,4.75,6.1,0.853
DBL_L10X10X1,129.0,38.0,10.0,10.0,1.0,2.86,0.95,354.0,90.0,49.6,3.05,665.0,109.0,66.5,4.18,5.69,0.828
DBL_L10X10X1X3_4,129.0,38.0,10.0,10.0,1.0,2.86,0.95,354.0,90.0,49.6,3.05,752.0,123.0,72.5,4.45,5.89,0.839
DBL_L10X10X1X1_1_2,129.0,38.0,10.0,10.0,1.0,2.86,0.95,354.0,90.0,49.6,3.05,849.0,137.0,79.0,4.73,6.1,0.85
DBL_L10X10X7_8,114.0,33.6,10.0,10.0,0.875,2.8,0.84,316.0,79.8,43.8,3.07,579.0,94.1,57.9,4.15,5.68,0.827
DBL_L10X10X7_8X3_4,114.0,33.6,10.0,10.0,0.875,2.8,0.84,316.0,79.8,43.8,3.07,655.0,107.0,63.1,4.42,5.87,0.838
DBL_L10X10X7_8X1_1_2,114.0,33.6,10.0,10.0,0.875,2.8,0.84,316.0,79.8,43.8,3.07,739.0,119.0,68.7,4.69,6.08,0.849
DBL_L10X10X3_4,98.2,29.0,10.0,10.0,0.75,2.76,0.725,278.0,69.2,38.4,3.1,499.0,80.0,49.9,4.15,5.7,0.825
DBL_L10X10X3_4X3_4,98.2,29.0,10.0,10.0,0.75,2.76,0.725,278.0,69.2,38.4,3.1,563.0,90.9,54.3,4.41,5.89,0.836
DBL_L10X10X3_4X1_1_2,98.2,29.0,10.0,10.0,0.75,2.76,0.725,278.0,69.2,38.4,3.1,635.0,102.0,59.1,4.68,6.1,0.847
DBL_L8X8X1_1_8,114.0,33.6,8.0,8.0,1.13,2.4,1.05,196.0,63.2,35.0,2.41,391.0,80.6,48.9,3.41,4.56,0.837
DBL_L8X8X1_1_8X3_8,114.0,33.6,8.0,8.0,1.13,2.4,1.05,196.0,63.2,35.0,2.41,421.0,86.9,51.4,3.54,4.66,0.844
DBL_L8X8X1_1_8X3_4,114.0,33.6,8.0,8.0,1.13,2.4,1.05,196.0,63.2,35.0,2.41,455.0,93.2,54.3,3.68,4.77,0.851
DBL_L8X8X1,102.0,30.2,8.0,8.0,1.0,2.36,0.944,178.0,57.0,31.6,2.43,347.0,71.3,43.4,3.39,4.56,0.834
DBL_L8X8X1X3_8,102.0,30.2,8.0,8.0,1.0,2.36,0.944,178.0,57.0,31.6,2.43,374.0,76.9,45.7,3.52,4.66,0.841
DBL_L8X8X1X3_4,102.0,30.2,8.0,8.0,1.0,2.36,0.944,178.0,57.0,31.6,2.43,405.0,82.6,48.4,3.66,4.77,0.848
DBL_L8X8X7_8,90.0,26.6,8.0,8.0,0.875,2.31,0.831,159.0,50.6,28.0,2.45,300.0,61.4,37.5,3.36,4.56,0.831
DBL_L8X8X7_8X3_8,90.0,26.6,8.0,8.0,0.875,2.31,0.831,159.0,50.6,28.0,2.45,326.0,66.4,39.8,3.5,4.66,0.838
DBL_L8X8X7_8X3_4,90.0,26.6,8.0,8.0,0.875,2.31,0.831,159.0,50.6,28.0,2.45,351.0,71.4,41.9,3.63,4.76,0.845
DBL_L8X8X3_4,77.8,23.0,8.0,8.0,0.75,2.26,0.719,140.0,44.0,24.4,2.46,257.0,52.0,32.1,3.34,4.56,0.829
DBL_L8X8X3_4X3_8,77.8,23.0,8.0,8.0,0.75,2.26,0.719,140.0,44.0,24.4,2.46,277.0,56.3,33.8,3.47,4.66,0.836
DBL_L8X8X3_4X3_4,77.8,23.0,8.0,8.0,0.75,2.26,0.719,140.0,44.0,24.4,2.46,300.0,60.6,35.8,3.61,4.76,0.843
DBL_L8X8X5_8,65.4,19.4,8.0,8.0,0.625,2.21,0.606,119.0,37.2,20.6,2.48,214.0,42.8,26.8,3.32,4.56,0.826
DBL_L8X8X5_8X3_8,65.4,19.4,8.0,8.0,0.625,2.21,0.606,119.0,37.2,20.6,2.48,231.0,46.5,28.2,3.45,4.66,0.833
DBL_L8X8X5_8X3_4,65.4,19.4,8.0,8.0,0.625,2.21,0.606,119.0,37.2,20.6,2.48,249.0,50.1,29.7,3.58,4.76,0.84
DBL_L8X8X9_16,59.2,17.5,8.0,8.0,0.563,2.19,0.548,108.0,33.6,18.7,2.49,192.0,38.4,24.0,3.31,4.56,0.825
DBL_L8X8X9_16X3_8,59.2,17.5,8.0,8.0,0.563,2.19,0.548,108.0,33.6,18.7,2.49,207.0,41.7,25.3,3.44,4.65,0.832
DBL_L8X8X9_16X3_4,59.2,17.5,8.0,8.0,0.563,2.19,0.548,108.0,33.6,18.7,2.49,223.0,45.0,26.6,3.57,4.75,0.839
DBL_L8X8X1_2,52.8,15.7,8.0,8.0,0.5,2.17,0.49,97.6,30.2,16.7,2.49,171.0,34.0,21.4,3.3,4.56,0.824
DBL_L8X8X1_2X3_8,52.8,15.7,8.0,8.0,0.5,2.17,0.49,97.6,30.2,16.7,2.49,185.0,37.0,22.6,3.43,4.65,0.831
DBL_L8X8X1_2X3_4,52.8,15.7,8.0,8.0,0.5,2.17,0.49,97.6,30.2,16.7,2.49,199.0,39.9,23.8,3.56,4.75,0.837
DBL_L6X6X1,74.8,22.0,6.0,6.0,1.0,1.86,0.917,70.8,30.8,17.1,1.79,146.0,40.9,24.3,2.58,3.42,0.843
DBL_L6X6X1X3_8,74.8,22.0,6.0,6.0,1.0,1.86,0.917,70.8,30.8,17.1,1.79,163.0,45.0,26.3,2.72,3.53,0.852
DBL_L6X6X1X3_4,74.8,22.0,6.0,6.0,1.0,1.86,0.917,70.8,30.8,17.1,1.79,180.0,49.2,28.2,2.86,3.64,0.861
DBL_L6X6X7_8,66.2,19.5,6.0,6.0,0.875,1.81,0.813,63.8,27.4,15.2,1.81,128.0,35.3,21.3,2.56,3.42,0.839
DBL_L6X6X7_8X3_8,66.2,19.5,6.0,6.0,0.875,1.81,0.813,63.8,27.4,15.2,1.81,142.0,39.0,22.9,2.7,3.53,0.848
DBL_L6X6X7_8X3_4,66.2,19.5,6.0,6.0,0.875,1.81,0.813,63.8,27.4,15.2,1.81,157.0,42.6,24.6,2.84,3.63,0.857
DBL_L6X6X3_4,57.4,16.9,6.0,6.0,0.75,1.77,0.705,56.2,23.8,13.3,1.82,109.0,29.9,18.2,2.54,3.42,0.835
DBL_L6X6X3_4X3_8,57.4,16.9,6.0,6.0,0.75,1.77,0.705,56.2,23.8,13.3,1.82,120.0,33.1,19.4,2.67,3.52,0.844
DBL_L6X6X3_4X3_4,57.4,16.9,6.0,6.0,0.75,1.77,0.705,56.2,23.8,13.3,1.82,133.0,36.3,20.9,2.81,3.63,0.853
DBL_L6X6X5_8,48.4,14.3,6.0,6.0,0.625,1.72,0.594,48.2,20.2,11.3,1.84,90.8,24.5,15.1,2.52,3.42,0.831
DBL_L6X6X5_8X3_8,48.4,14.3,6.0,6.0,0.625,1.72,0.594,48.2,20.2,11.3,1.84,100.0,27.2,16.2,2.65,3.52,0.84
DBL_L6X6X5_8X3_4,48.4,14.3,6.0,6.0,0.625,1.72,0.594,48.2,20.2,11.3,1.84,111.0,29.9,17.4,2.79,3.62,0.849
DBL_L6X6X9_16,43.8,12.9,6.0,6.0,0.563,1.7,0.538,44.0,18.4,10.2,1.85,81.3,21.9,13.6,2.51,3.42,0.829
DBL_L6X6X9_16X3_8,43.8,12.9,6.0,6.0,0.563,1.7,0.538,44.0,18.4,10.2,1.85,89.9,24.3,14.5,2.64,3.52,0.838
DBL_L6X6X9_16X3_4,43.8,12.9,6.0,6.0,0.563,1.7,0.538,44.0,18.4,10.2,1.85,99.7,26.8,15.6,2.78,3.62,0.847
DBL_L6X6X1_2,39.2,11.5,6.0,6.0,0.5,1.67,0.481,39.8,16.4,9.18,1.86,71.9,19.3,12.0,2.5,3.42,0.827
DBL_L6X6X1_2X3_8,39.2,11.5,6.0,6.0,0.5,1.67,0.481,39.8,16.4,9.18,1.86,79.5,21.4,12.8,2.63,3.52,0.836
DBL_L6X6X1_2X3_4,39.2,11.5,6.0,6.0,0.5,1.67,0.481,39.8,16.4,9.18,1.86,87.6,23.6,13.7,2.76,3.62,0.846
DBL_L6X6X7_16,34.4,10.2,6.0,6.0,0.438,1.65,0.423,35.2,14.5,8.12,1.86,63.2,16.8,10.5,2.49,3.42,0.826
DBL_L6X6X7_16X3_8,34.4,10.2,6.0,6.0,0.438,1.65,0.423,35.2,14.5,8.12,1.86,70.0,18.7,11.3,2.62,3.52,0.835
DBL_L6X6X7_16X3_4,34.4,10.2,6.0,6.0,0.438,1.65,0.423,35.2,14.5,8.12,1.86,77.1,20.6,12.1,2.75,3.62,0.844
DBL_L6X6X3_8,29.8,8.76,6.0,6.0,0.375,1.62,0.365,30.8,12.5,7.02,1.87,53.9,14.2,8.98,2.48,3.42,0.824
DBL_L6X6X3_8X3_8,29.8,8.76,6.0,6.0,0.375,1.62,0.365,30.8,12.5,7.02,1.87,59.2,15.8,9.57,2.6,3.51,0.833
DBL_L6X6X3_8X3_4,29.8,8.76,6.0,6.0,0.375,1.62,0.365,30.8,12.5,7.02,1.87,65.8,17.5,10.3,2.74,3.61,0.842
DBL_L6X6X5_16,24.8,7.34,6.0,6.0,0.313,1.6,0.306,26.0,10.5,5.9,1.88,44.8,11.7,7.47,2.47,3.42,0.823
DBL_L6X6X5_16X3_8,24.8,7.34,6.0,6.0,0.313,1.6,0.306,26.0,10.5,5.9,1.88,49.2,13.1,7.95,2.59,3.51,0.832
DBL_L6X6X5_16X3_4,24.8,7.34,6.0,6.0,0.313,1.6,0.306,26.0,10.5,5.9,1.88,54.3,14.5,8.52,2.72,3.61,0.841
DBL_L5X5X7_8,54.4,16.0,5.0,5.0,0.875,1.56,0.8,35.6,18.6,10.3,1.49,74.6,25.0,14.9,2.16,2.85,0.845
DBL_L5X5X7_8X3_8,54.4,16.0,5.0,5.0,0.875,1.56,0.8,35.6,18.6,10.3,1.49,84.6,28.0,16.3,2.3,2.96,0.856
DBL_L5X5X7_8X3_4,54.4,16.0,5.0,5.0,0.875,1.56,0.8,35.6,18.6,10.3,1.49,95.3,31.0,17.7,2.44,3.07,0.866
DBL_L5X5X3_4,47.2,14.0,5.0,5.0,0.75,1.52,0.698,31.4,16.3,9.04,1.5,63.5,21.2,12.7,2.13,2.85,0.84
DBL_L5X5X3_4X3_8,47.2,14.0,5.0,5.0,0.75,1.52,0.698,31.4,16.3,9.04,1.5,72.1,23.8,13.9,2.27,2.95,0.851
DBL_L5X5X3_4X3_4,47.2,14.0,5.0,5.0,0.75,1.52,0.698,31.4,16.3,9.04,1.5,81.3,26.5,15.1,2.41,3.06,0.861
DBL_L5X5X5_8,40.0,11.8,5.0,5.0,0.625,1.47,0.59,27.2,13.9,7.7,1.52,52.5,17.3,10.5,2.11,2.85,0.835
DBL_L5X5X5_8X3_8,40.0,11.8,5.0,5.0,0.625,1.47,0.59,27.2,13.9,7.7,1.52,59.7,19.6,11.5,2.25,2.95,0.846
DBL_L5X5X5_8X3_4,40.0,11.8,5.0,5.0,0.625,1.47,0.59,27.2,13.9,7.7,1.52,67.4,21.8,12.5,2.39,3.06,0.857
DBL_L5X5X1_2,32.4,9.58,5.0,5.0,0.5,1.42,0.479,22.6,11.3,6.3,1.53,41.8,13.6,8.36,2.09,2.85,0.83
DBL_L5X5X1_2X3_8,32.4,9.58,5.0,5.0,0.5,1.42,0.479,22.6,11.3,6.3,1.53,47.2,15.4,9.1,2.22,2.94,0.842
DBL_L5X5X1_2X3_4,32.4,9.58,5.0,5.0,0.5,1.42,0.479,22.6,11.3,6.3,1.53,53.4,17.2,9.93,2.36,3.05,0.852
DBL_L5X5X7_16,28.6,8.44,5.0,5.0,0.438,1.4,0.422,20.0,10.0,5.56,1.54,36.5,11.8,7.3,2.08,2.85,0.828
DBL_L5X5X7_16X3_8,28.6,8.44,5.0,5.0,0.438,1.4,0.422,20.0,10.0,5.56,1.54,41.2,13.4,7.94,2.21,2.94,0.839
DBL_L5X5X7_16X3_4,28.6,8.44,5.0,5.0,0.438,1.4,0.422,20.0,10.0,5.56,1.54,46.6,15.0,8.67,2.35,3.05,0.85
DBL_L5X5X3_8,24.6,7.3,5.0,5.0,0.375,1.37,0.365,17.5,8.66,4.82,1.55,31.3,10.0,6.26,2.07,2.84,0.826
DBL_L5X5X3_8X3_8,24.6,7.3,5.0,5.0,0.375,1.37,0.365,17.5,8.66,4.82,1.55,35.3,11.4,6.8,2.2,2.94,0.838
DBL_L5X5X3_8X3_4,24.6,7.3,5.0,5.0,0.375,1.37,0.365,17.5,8.66,4.82,1.55,40.0,12.7,7.44,2.34,3.04,0.848
DBL_L5X5X5_16,20.6,6.14,5.0,5.0,0.313,1.35,0.307,14.9,7.3,4.08,1.56,26.1,8.29,5.22,2.06,2.84,0.825
DBL_L5X5X5_16X3_8,20.6,6.14,5.0,5.0,0.313,1.35,0.307,14.9,7.3,4.08,1.56,29.4,9.44,5.67,2.19,2.94,0.836
DBL_L5X5X5_16X3_4,20.6,6.14,5.0,5.0,0.313,1.35,0.307,14.9,7.3,4.08,1.56,33.0,10.6,6.14,2.32,3.04,0.847
DBL_L4X4X3_4,37.0,10.9,4.0,4.0,0.75,1.27,0.68,15.2,10.0,5.58,1.18,32.6,13.8,8.15,1.73,2.28,0.847
DBL_L4X4X3_4X3_8,37.0,10.9,4.0,4.0,0.75,1.27,0.68,15.2,10.0,5.58,1.18,38.5,15.9,9.19,1.88,2.39,0.861
DBL_L4X4X3_4X3_4,37.0,10.9,4.0,4.0,0.75,1.27,0.68,15.2,10.0,5.58,1.18,44.9,17.9,10.3,2.03,2.51,0.874
DBL_L4X4X5_8,31.4,9.22,4.0,4.0,0.625,1.22,0.576,13.2,8.56,4.76,1.2,27.0,11.2,6.75,1.71,2.28,0.841
DBL_L4X4X5_8X3_8,31.4,9.22,4.0,4.0,0.625,1.22,0.576,13.2,8.56,4.76,1.2,31.6,13.0,7.55,1.85,2.39,0.854
DBL_L4X4X5_8X3_4,31.4,9.22,4.0,4.0,0.625,1.22,0.576,13.2,8.56,4.76,1.2,36.9,14.7,8.43,2.0,2.5,0.868
DBL_L4X4X1_2,25.6,7.5,4.0,4.0,0.5,1.18,0.469,11.0,7.0,3.92,1.21,21.4,8.85,5.35,1.69,2.28,0.834
DBL_L4X4X1_2X3_8,25.6,7.5,4.0,4.0,0.5,1.18,0.469,11.0,7.0,3.92,1.21,25.1,10.3,5.99,1.83,2.38,0.848
DBL_L4X4X1_2X3_4,25.6,7.5,4.0,4.0,0.5,1.18,0.469,11.0,7.0,3.92,1.21,29.1,11.7,6.65,1.97,2.49,0.862
DBL_L4X4X7_16,22.6,6.6,4.0,4.0,0.438,1.15,0.413,9.86,6.2,3.46,1.22,18.6,7.59,4.65,1.68,2.28,0.832
DBL_L4X4X7_16X3_8,22.6,6.6,4.0,4.0,0.438,1.15,0.413,9.86,6.2,3.46,1.22,21.6,8.83,5.16,1.81,2.38,0.846
DBL_L4X4X7_16X3_4,22.6,6.6,4.0,4.0,0.438,1.15,0.413,9.86,6.2,3.46,1.22,25.4,10.1,5.81,1.96,2.49,0.859
DBL_L4X4X3_8,19.6,5.72,4.0,4.0,0.375,1.13,0.358,8.64,5.38,3.0,1.23,16.0,6.46,4.0,1.67,2.28,0.829
DBL_L4X4X3_8X3_8,19.6,5.72,4.0,4.0,0.375,1.13,0.358,8.64,5.38,3.0,1.23,18.5,7.54,4.42,1.8,2.38,0.843
DBL_L4X4X3_8X3_4,19.6,5.72,4.0,4.0,0.375,1.13,0.358,8.64,5.38,3.0,1.23,21.5,8.61,4.91,1.94,2.49,0.856
DBL_L4X4X5_16,16.4,4.8,4.0,4.0,0.313,1.11,0.3,7.34,4.52,2.54,1.24,13.2,5.33,3.3,1.66,2.28,0.826
DBL_L4X4X5_16X3_8,16.4,4.8,4.0,4.0,0.313,1.11,0.3,7.34,4.52,2.54,1.24,15.4,6.23,3.68,1.79,2.37,0.84
DBL_L4X4X5_16X3_4,16.4,4.8,4.0,4.0,0.313,1.11,0.3,7.34,4.52,2.54,1.24,17.9,7.13,4.09,1.93,2.48,0.854
DBL_L4X4X1_4,13.2,3.86,4.0,4.0,0.25,1.08,0.241,6.0,3.64,2.06,1.25,10.5,4.17,2.62,1.65,2.28,0.824
DBL_L4X4X1_4X3_8,13.2,3.86,4.0,4.0,0.25,1.08,0.241,6.0,3.64,2.06,1.25,12.2,4.89,2.91,1.78,2.37,0.838
DBL_L4X4X1_4X3_4,13.2,3.86,4.0,4.0,0.25,1.08,0.241,6.0,3.64,2.06,1.25,14.1,5.62,3.22,1.91,2.48,0.851
DBL_L3_1_2X3_1_2X1_2,22.2,6.5,3.5,3.5,0.5,1.05,0.464,7.26,5.32,2.96,1.05,14.4,6.82,4.11,1.49,1.99,0.838
DBL_L3_1_2X3_1_2X1_2X3_8,22.2,6.5,3.5,3.5,0.5,1.05,0.464,7.26,5.32,2.96,1.05,17.3,8.04,4.69,1.63,2.1,0.854
DBL_L3_1_2X3_1_2X1_2X3_4,22.2,6.5,3.5,3.5,0.5,1.05,0.464,7.26,5.32,2.96,1.05,20.4,9.26,5.26,1.77,2.21,0.869
DBL_L3_1_2X3_1_2X7_16,19.6,5.78,3.5,3.5,0.438,1.03,0.413,6.5,4.72,2.64,1.06,12.7,5.95,3.63,1.48,1.99,0.835
DBL_L3_1_2X3_1_2X7_16X3_8,19.6,5.78,3.5,3.5,0.438,1.03,0.413,6.5,4.72,2.64,1.06,15.0,7.04,4.07,1.61,2.09,0.851
DBL_L3_1_2X3_1_2X7_16X3_4,19.6,5.78,3.5,3.5,0.438,1.03,0.413,6.5,4.72,2.64,1.06,17.9,8.12,4.62,1.76,2.21,0.866
DBL_L3_1_2X3_1_2X3_8,17.0,5.0,3.5,3.5,0.375,1.0,0.357,5.72,4.12,2.3,1.07,10.8,5.0,3.09,1.47,1.99,0.832
DBL_L3_1_2X3_1_2X3_8X3_8,17.0,5.0,3.5,3.5,0.375,1.0,0.357,5.72,4.12,2.3,1.07,12.8,5.94,3.47,1.6,2.09,0.848
DBL_L3_1_2X3_1_2X3_8X3_4,17.0,5.0,3.5,3.5,0.375,1.0,0.357,5.72,4.12,2.3,1.07,15.1,6.88,3.9,1.74,2.2,0.863
DBL_L3_1_2X3_1_2X5_16,14.4,4.2,3.5,3.5,0.313,0.979,0.3,4.88,3.48,1.94,1.08,8.95,4.11,2.56,1.46,1.99,0.829
DBL_L3_1_2X3_1_2X5_16X3_8,14.4,4.2,3.5,3.5,0.313,0.979,0.3,4.88,3.48,1.94,1.08,10.6,4.9,2.87,1.59,2.09,0.845
