shape,weight,area,d,b,t,y,yp,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,ro,H
DBL_L3X2X1_4X3_8LLBB,8.2,2.4,3.0,2.0,0.25,0.98,0.6,2.18,1.94,1.08,0.953,1.87,1.62,0.855,0.883,1.56,0.698
DBL_L3X2X1_4X3_4LLBB,8.2,2.4,3.0,2.0,0.25,0.98,0.6,2.18,1.94,1.08,0.953,2.55,2.07,1.07,1.03,1.65,0.73
DBL_L3X2X3_16LLBB,6.14,1.83,3.0,2.0,0.188,0.952,0.555,1.69,1.49,0.828,0.961,0.999,0.847,0.5,0.739,1.49,0.666
DBL_L3X2X3_16X3_8LLBB,6.14,1.83,3.0,2.0,0.188,0.952,0.555,1.69,1.49,0.828,0.961,1.38,1.19,0.631,0.869,1.55,0.695
DBL_L3X2X3_16X3_4LLBB,6.14,1.83,3.0,2.0,0.188,0.952,0.555,1.69,1.49,0.828,0.961,1.9,1.54,0.8,1.02,1.64,0.726
DBL_L2_1_2X2X3_8LLBB,10.6,3.1,2.5,2.0,0.375,0.826,0.433,1.83,1.96,1.09,0.766,2.06,1.79,1.03,0.815,1.29,0.754
DBL_L2_1_2X2X3_8X3_8LLBB,10.6,3.1,2.5,2.0,0.375,0.826,0.433,1.83,1.96,1.09,0.766,2.84,2.37,1.3,0.957,1.38,0.786
DBL_L2_1_2X2X3_8X3_4LLBB,10.6,3.1,2.5,2.0,0.375,0.826,0.433,1.83,1.96,1.09,0.766,3.82,2.95,1.61,1.11,1.49,0.817
DBL_L2_1_2X2X5_16LLBB,9.0,2.64,2.5,2.0,0.313,0.803,0.388,1.58,1.68,0.93,0.774,1.71,1.47,0.855,0.804,1.29,0.748
DBL_L2_1_2X2X5_16X3_8LLBB,9.0,2.64,2.5,2.0,0.313,0.803,0.388,1.58,1.68,0.93,0.774,2.35,1.96,1.07,0.943,1.38,0.781
DBL_L2_1_2X2X5_16X3_4LLBB,9.0,2.64,2.5,2.0,0.313,0.803,0.388,1.58,1.68,0.93,0.774,3.19,2.46,1.34,1.1,1.49,0.812
DBL_L2_1_2X2X1_4LLBB,7.24,2.14,2.5,2.0,0.25,0.779,0.36,1.31,1.38,0.762,0.782,1.35,1.14,0.675,0.794,1.29,0.744
DBL_L2_1_2X2X1_4X3_8LLBB,7.24,2.14,2.5,2.0,0.25,0.779,0.36,1.31,1.38,0.762,0.782,1.85,1.54,0.846,0.93,1.38,0.775
DBL_L2_1_2X2X1_4X3_4LLBB,7.24,2.14,2.5,2.0,0.25,0.779,0.36,1.31,1.38,0.762,0.782,2.5,1.94,1.05,1.08,1.49,0.806
DBL_L2_1_2X2X3_16LLBB,5.5,1.64,2.5,2.0,0.188,0.754,0.319,1.02,1.06,0.586,0.79,1.01,0.831,0.505,0.784,1.29,0.74
DBL_L2_1_2X2X3_16X3_8LLBB,5.5,1.64,2.5,2.0,0.188,0.754,0.319,1.02,1.06,0.586,0.79,1.38,1.14,0.631,0.916,1.38,0.771
DBL_L2_1_2X2X3_16X3_4LLBB,5.5,1.64,2.5,2.0,0.188,0.754,0.319,1.02,1.06,0.586,0.79,1.88,1.44,0.792,1.07,1.48,0.801
DBL_L2_1_2X1_1_2X1_4LLBB,6.38,1.89,2.5,1.5,0.25,0.866,0.606,1.19,1.29,0.728,0.79,0.574,0.705,0.383,0.551,1.21,0.629
DBL_L2_1_2X1_1_2X1_4X3_8LLBB,6.38,1.89,2.5,1.5,0.25,0.866,0.606,1.19,1.29,0.728,0.79,0.902,1.06,0.535,0.691,1.28,0.668
DBL_L2_1_2X1_1_2X1_4X3_4LLBB,6.38,1.89,2.5,1.5,0.25,0.866,0.606,1.19,1.29,0.728,0.79,1.37,1.41,0.731,0.85,1.38,0.711
DBL_L2_1_2X1_1_2X3_16LLBB,4.88,1.45,2.5,1.5,0.188,0.839,0.569,0.928,0.994,0.56,0.8,0.424,0.502,0.283,0.541,1.22,0.625
DBL_L2_1_2X1_1_2X3_16X3_8LLBB,4.88,1.45,2.5,1.5,0.188,0.839,0.569,0.928,0.994,0.56,0.8,0.665,0.774,0.394,0.677,1.29,0.662
DBL_L2_1_2X1_1_2X3_16X3_4LLBB,4.88,1.45,2.5,1.5,0.188,0.839,0.569,0.928,0.994,0.56,0.8,1.01,1.05,0.539,0.833,1.38,0.704
DBL_L8X6X1SLBB,88.4,26.2,6.0,8.0,1.0,1.65,0.819,77.6,32.4,17.8,1.72,345.0,69.4,43.1,3.63,4.18,0.924
DBL_L8X6X1X3_8SLBB,88.4,26.2,6.0,8.0,1.0,1.65,0.819,77.6,32.4,17.8,1.72,372.0,74.3,45.4,3.77,4.3,0.929
DBL_L8X6X1X3_4SLBB,88.4,26.2,6.0,8.0,1.0,1.65,0.819,77.6,32.4,17.8,1.72,401.0,79.3,47.9,3.91,4.43,0.933
DBL_L8X6X7_8SLBB,78.2,23.0,6.0,8.0,0.875,1.6,0.719,69.8,28.7,15.9,1.74,300.0,59.8,37.5,3.61,4.17,0.922
DBL_L8X6X7_8X3_8SLBB,78.2,23.0,6.0,8.0,0.875,1.6,0.719,69.8,28.7,15.9,1.74,323.0,64.1,39.5,3.75,4.29,0.926
DBL_L8X6X7_8X3_4SLBB,78.2,23.0,6.0,8.0,0.875,1.6,0.719,69.8,28.7,15.9,1.74,348.0,68.4,41.6,3.89,4.42,0.93
DBL_L8X6X3_4SLBB,67.6,20.0,6.0,8.0,0.75,1.56,0.624,61.5,24.9,13.8,1.75,258.0,50.9,32.2,3.59,4.17,0.919
DBL_L8X6X3_4X3_8SLBB,67.6,20.0,6.0,8.0,0.75,1.56,0.624,61.5,24.9,13.8,1.75,277.0,54.7,33.8,3.72,4.28,0.924
DBL_L8X6X3_4X3_4SLBB,67.6,20.0,6.0,8.0,0.75,1.56,0.624,61.5,24.9,13.8,1.75,298.0,58.4,35.6,3.86,4.4,0.928
DBL_L8X6X5_8SLBB,57.0,16.8,6.0,8.0,0.625,1.51,0.526,52.8,21.0,11.8,1.77,214.0,42.0,26.8,3.57,4.16,0.917
DBL_L8X6X5_8X3_8SLBB,57.0,16.8,6.0,8.0,0.625,1.51,0.526,52.8,21.0,11.8,1.77,230.0,45.2,28.1,3.7,4.27,0.921
DBL_L8X6X5_8X3_4SLBB,57.0,16.8,6.0,8.0,0.625,1.51,0.526,52.8,21.0,11.8,1.77,248.0,48.4,29.6,3.84,4.39,0.926
DBL_L8X6X9_16SLBB,51.4,15.2,6.0,8.0,0.563,1.49,0.476,48.2,19.0,10.7,1.78,192.0,37.7,24.0,3.55,4.15,0.916
DBL_L8X6X9_16X3_8SLBB,51.4,15.2,6.0,8.0,0.563,1.49,0.476,48.2,19.0,10.7,1.78,207.0,40.6,25.3,3.69,4.27,0.92
DBL_L8X6X9_16X3_4SLBB,51.4,15.2,6.0,8.0,0.563,1.49,0.476,48.2,19.0,10.7,1.78,223.0,43.5,26.6,3.83,4.39,0.924
DBL_L8X6X1_2SLBB,46.0,13.6,6.0,8.0,0.5,1.46,0.425,43.5,17.0,9.58,1.79,170.0,33.5,21.2,3.54,4.15,0.915
DBL_L8X6X1_2X3_8SLBB,46.0,13.6,6.0,8.0,0.5,1.46,0.425,43.5,17.0,9.58,1.79,184.0,36.0,22.5,3.68,4.26,0.919
DBL_L8X6X1_2X3_4SLBB,46.0,13.6,6.0,8.0,0.5,1.46,0.425,43.5,17.0,9.58,1.79,197.0,38.6,23.5,3.81,4.38,0.923
DBL_L8X6X7_16SLBB,40.4,12.0,6.0,8.0,0.438,1.44,0.374,38.6,15.0,8.46,1.8,150.0,29.1,18.8,3.53,4.15,0.913
DBL_L8X6X7_16X3_8SLBB,40.4,12.0,6.0,8.0,0.438,1.44,0.374,38.6,15.0,8.46,1.8,161.0,31.4,19.7,3.66,4.26,0.918
DBL_L8X6X7_16X3_4SLBB,40.4,12.0,6.0,8.0,0.438,1.44,0.374,38.6,15.0,8.46,1.8,173.0,33.6,20.7,3.8,4.38,0.922
DBL_L8X4X1SLBB,74.8,22.2,4.0,8.0,1.0,1.04,0.694,23.3,15.5,7.87,1.03,345.0,67.3,43.1,3.94,4.11,0.983
DBL_L8X4X1X3_8SLBB,74.8,22.2,4.0,8.0,1.0,1.04,0.694,23.3,15.5,7.87,1.03,370.0,71.4,45.2,4.08,4.25,0.984
DBL_L8X4X1X3_4SLBB,74.8,22.2,4.0,8.0,1.0,1.04,0.694,23.3,15.5,7.87,1.03,397.0,75.6,47.4,4.23,4.39,0.985
DBL_L8X4X7_8SLBB,66.2,19.6,4.0,8.0,0.875,0.997,0.612,21.1,13.5,7.02,1.04,300.0,58.5,37.5,3.91,4.09,0.981
DBL_L8X4X7_8X3_8SLBB,66.2,19.6,4.0,8.0,0.875,0.997,0.612,21.1,13.5,7.02,1.04,323.0,62.2,39.5,4.06,4.22,0.982
DBL_L8X4X7_8X3_4SLBB,66.2,19.6,4.0,8.0,0.875,0.997,0.612,21.1,13.5,7.02,1.04,347.0,65.9,41.4,4.21,4.37,0.984
DBL_L8X4X3_4SLBB,57.4,17.0,4.0,8.0,0.75,0.949,0.531,18.7,11.6,6.14,1.05,257.0,49.9,32.1,3.89,4.07,0.98
DBL_L8X4X3_4X3_8SLBB,57.4,17.0,4.0,8.0,0.75,0.949,0.531,18.7,11.6,6.14,1.05,276.0,53.1,33.7,4.03,4.2,0.981
DBL_L8X4X3_4X3_4SLBB,57.4,17.0,4.0,8.0,0.75,0.949,0.531,18.7,11.6,6.14,1.05,297.0,56.3,35.5,4.18,4.35,0.983
DBL_L8X4X5_8SLBB,48.4,14.3,4.0,8.0,0.625,0.902,0.448,16.2,9.73,5.23,1.06,213.0,41.4,26.6,3.86,4.05,0.979
DBL_L8X4X5_8X3_8SLBB,48.4,14.3,4.0,8.0,0.625,0.902,0.448,16.2,9.73,5.23,1.06,229.0,44.1,28.0,4.0,4.18,0.98
DBL_L8X4X5_8X3_4SLBB,48.4,14.3,4.0,8.0,0.625,0.902,0.448,16.2,9.73,5.23,1.06,246.0,46.8,29.4,4.15,4.32,0.981
DBL_L8X4X9_16SLBB,43.8,13.0,4.0,8.0,0.563,0.878,0.406,14.9,8.77,4.77,1.07,193.0,37.1,24.1,3.85,4.04,0.978
DBL_L8X4X9_16X3_8SLBB,43.8,13.0,4.0,8.0,0.563,0.878,0.406,14.9,8.77,4.77,1.07,207.0,39.6,25.3,3.99,4.17,0.98
DBL_L8X4X9_16X3_4SLBB,43.8,13.0,4.0,8.0,0.563,0.878,0.406,14.9,8.77,4.77,1.07,222.0,42.0,26.5,4.13,4.31,0.981
DBL_L8X4X1_2SLBB,39.2,11.6,4.0,8.0,0.5,0.854,0.363,13.5,7.81,4.29,1.08,170.0,32.9,21.2,3.83,4.03,0.978
DBL_L8X4X1_2X3_8SLBB,39.2,11.6,4.0,8.0,0.5,0.854,0.363,13.5,7.81,4.29,1.08,183.0,35.1,22.4,3.97,4.16,0.979
DBL_L8X4X1_2X3_4SLBB,39.2,11.6,4.0,8.0,0.5,0.854,0.363,13.5,7.81,4.29,1.08,197.0,37.3,23.5,4.12,4.3,0.98
DBL_L8X4X7_16SLBB,34.4,10.2,4.0,8.0,0.438,0.829,0.319,12.1,6.85,3.81,1.09,149.0,28.7,18.6,3.82,4.02,0.977
DBL_L8X4X7_16X3_8SLBB,34.4,10.2,4.0,8.0,0.438,0.829,0.319,12.1,6.85,3.81,1.09,160.0,30.6,19.5,3.96,4.15,0.978
DBL_L8X4X7_16X3_4SLBB,34.4,10.2,4.0,8.0,0.438,0.829,0.319,12.1,6.85,3.81,1.09,171.0,32.6,20.4,4.1,4.29,0.98
DBL_L7X4X3_4SLBB,52.4,15.5,4.0,7.0,0.75,1.0,0.553,18.0,11.2,6.01,1.08,173.0,38.7,24.7,3.34,3.57,0.969
DBL_L7X4X3_4X3_8SLBB,52.4,15.5,4.0,7.0,0.75,1.0,0.553,18.0,11.2,6.01,1.08,188.0,41.6,26.2,3.48,3.7,0.971
DBL_L7X4X3_4X3_4SLBB,52.4,15.5,4.0,7.0,0.75,1.0,0.553,18.0,11.2,6.01,1.08,204.0,44.5,27.7,3.63,3.84,0.973
DBL_L7X4X5_8SLBB,44.2,13.0,4.0,7.0,0.625,0.958,0.464,15.6,9.38,5.12,1.1,142.0,31.8,20.3,3.31,3.55,0.967
DBL_L7X4X5_8X3_8SLBB,44.2,13.0,4.0,7.0,0.625,0.958,0.464,15.6,9.38,5.12,1.1,156.0,34.3,21.7,3.46,3.68,0.969
DBL_L7X4X5_8X3_4SLBB,44.2,13.0,4.0,7.0,0.625,0.958,0.464,15.6,9.38,5.12,1.1,168.0,36.7,22.8,3.6,3.82,0.971
DBL_L7X4X1_2SLBB,35.8,10.5,4.0,7.0,0.5,0.91,0.376,13.0,7.54,4.2,1.11,114.0,25.2,16.3,3.29,3.53,0.965
DBL_L7X4X1_2X3_8SLBB,35.8,10.5,4.0,7.0,0.5,0.91,0.376,13.0,7.54,4.2,1.11,124.0,27.2,17.3,3.43,3.66,0.968
DBL_L7X4X1_2X3_4SLBB,35.8,10.5,4.0,7.0,0.5,0.91,0.376,13.0,7.54,4.2,1.11,134.0,29.2,18.2,3.57,3.8,0.97
DBL_L7X4X7_16SLBB,31.4,9.26,4.0,7.0,0.438,0.886,0.331,11.6,6.61,3.72,1.12,99.6,22.0,14.2,3.28,3.53,0.964
DBL_L7X4X7_16X3_8SLBB,31.4,9.26,4.0,7.0,0.438,0.886,0.331,11.6,6.61,3.72,1.12,108.0,23.8,15.0,3.42,3.66,0.967
DBL_L7X4X7_16X3_4SLBB,31.4,9.26,4.0,7.0,0.438,0.886,0.331,11.6,6.61,3.72,1.12,117.0,25.5,15.9,3.56,3.79,0.969
DBL_L7X4X3_8SLBB,27.2,8.0,4.0,7.0,0.375,0.861,0.286,10.1,5.68,3.22,1.12,85.0,18.8,12.1,3.26,3.52,0.963
DBL_L7X4X3_8X3_8SLBB,27.2,8.0,4.0,7.0,0.375,0.861,0.286,10.1,5.68,3.22,1.12,92.5,20.3,12.9,3.4,3.65,0.966
DBL_L7X4X3_8X3_4SLBB,27.2,8.0,4.0,7.0,0.375,0.861,0.286,10.1,5.68,3.22,1.12,100.0,21.8,13.6,3.54,3.78,0.968
DBL_L6X4X7_8SLBB,54.4,16.0,4.0,6.0,0.875,1.12,0.667,19.4,12.5,6.74,1.1,127.0,33.9,21.2,2.82,3.1,0.952
DBL_L6X4X7_8X3_8SLBB,54.4,16.0,4.0,6.0,0.875,1.12,0.667,19.4,12.5,6.74,1.1,140.0,36.9,22.6,2.96,3.23,0.956
DBL_L6X4X7_8X3_4SLBB,54.4,16.0,4.0,6.0,0.875,1.12,0.667,19.4,12.5,6.74,1.1,155.0,39.9,24.3,3.11,3.37,0.959
DBL_L6X4X3_4SLBB,47.2,13.9,4.0,6.0,0.75,1.07,0.578,17.3,10.8,5.9,1.12,109.0,28.7,18.2,2.8,3.09,0.949
DBL_L6X4X3_4X3_8SLBB,47.2,13.9,4.0,6.0,0.75,1.07,0.578,17.3,10.8,5.9,1.12,120.0,31.3,19.4,2.94,3.22,0.953
DBL_L6X4X3_4X3_4SLBB,47.2,13.9,4.0,6.0,0.75,1.07,0.578,17.3,10.8,5.9,1.12,132.0,33.9,20.7,3.08,3.35,0.957
DBL_L6X4X5_8SLBB,40.0,11.7,4.0,6.0,0.625,1.03,0.488,15.0,9.13,5.03,1.13,89.8,23.8,15.0,2.77,3.08,0.946
DBL_L6X4X5_8X3_8SLBB,40.0,11.7,4.0,6.0,0.625,1.03,0.488,15.0,9.13,5.03,1.13,99.1,26.0,16.0,2.91,3.21,0.95
DBL_L6X4X5_8X3_4SLBB,40.0,11.7,4.0,6.0,0.625,1.03,0.488,15.0,9.13,5.03,1.13,110.0,28.2,17.3,3.06,3.34,0.954
DBL_L6X4X9_16SLBB,36.2,10.6,4.0,6.0,0.563,1.0,0.443,13.7,8.26,4.58,1.14,80.7,21.2,13.4,2.76,3.07,0.945
DBL_L6X4X9_16X3_8SLBB,36.2,10.6,4.0,6.0,0.563,1.0,0.443,13.7,8.26,4.58,1.14,89.1,23.2,14.4,2.9,3.2,0.949
DBL_L6X4X9_16X3_4SLBB,36.2,10.6,4.0,6.0,0.563,1.0,0.443,13.7,8.26,4.58,1.14,98.0,25.2,15.4,3.04,3.33,0.953
DBL_L6X4X1_2SLBB,32.4,9.5,4.0,6.0,0.5,0.981,0.396,12.4,7.38,4.12,1.14,71.8,18.8,12.0,2.75,3.07,0.943
DBL_L6X4X1_2X3_8SLBB,32.4,9.5,4.0,6.0,0.5,0.981,0.396,12.4,7.38,4.12,1.14,79.3,20.6,12.8,2.89,3.19,0.948
DBL_L6X4X1_2X3_4SLBB,32.4,9.5,4.0,6.0,0.5,0.981,0.396,12.4,7.38,4.12,1.14,87.2,22.4,13.7,3.03,3.32,0.952
DBL_L6X4X7_16SLBB,28.6,8.36,4.0,6.0,0.438,0.957,0.348,11.1,6.49,3.65,1.15,62.8,16.3,10.5,2.74,3.06,0.942
DBL_L6X4X7_16X3_8SLBB,28.6,8.36,4.0,6.0,0.438,0.957,0.348,11.1,6.49,3.65,1.15,69.3,17.9,11.2,2.88,3.19,0.946
DBL_L6X4X7_16X3_4SLBB,28.6,8.36,4.0,6.0,0.438,0.957,0.348,11.1,6.49,3.65,1.15,76.2,19.4,12.0,3.02,3.31,0.95
DBL_L6X4X3_8SLBB,24.6,7.22,4.0,6.0,0.375,0.933,0.301,9.72,5.58,3.17,1.16,53.8,13.9,8.97,2.73,3.06,0.94
DBL_L6X4X3_8X3_8SLBB,24.6,7.22,4.0,6.0,0.375,0.933,0.301,9.72,5.58,3.17,1.16,59.1,15.3,9.55,2.86,3.18,0.945
DBL_L6X4X3_8X3_4SLBB,24.6,7.22,4.0,6.0,0.375,0.933,0.301,9.72,5.58,3.17,1.16,65.0,16.6,10.2,3.0,3.31,0.949
DBL_L6X4X5_16SLBB,20.6,6.06,4.0,6.0,0.313,0.908,0.253,8.26,4.67,2.67,1.17,44.8,11.5,7.47,2.72,3.05,0.939
DBL_L6X4X5_16X3_8SLBB,20.6,6.06,4.0,6.0,0.313,0.908,0.253,8.26,4.67,2.67,1.17,49.2,12.7,7.95,2.85,3.17,0.944
DBL_L6X4X5_16X3_4SLBB,20.6,6.06,4.0,6.0,0.313,0.908,0.253,8.26,4.67,2.67,1.17,54.2,13.8,8.5,2.99,3.3,0.948
DBL_L6X3_1_2X1_2SLBB,30.6,9.0,3.5,6.0,0.5,0.829,0.375,8.47,5.77,3.17,0.968,71.6,18.6,11.9,2.82,3.04,0.964
DBL_L6X3_1_2X1_2X3_8SLBB,30.6,9.0,3.5,6.0,0.5,0.829,0.375,8.47,5.77,3.17,0.968,78.9,20.3,12.8,2.96,3.17,0.967
DBL_L6X3_1_2X1_2X3_4SLBB,30.6,9.0,3.5,6.0,0.5,0.829,0.375,8.47,5.77,3.17,0.968,87.0,22.0,13.6,3.11,3.31,0.969
DBL_L6X3_1_2X3_8SLBB,23.4,6.88,3.5,6.0,0.375,0.781,0.287,6.65,4.36,2.45,0.984,53.9,13.9,8.98,2.8,3.02,0.962
DBL_L6X3_1_2X3_8X3_8SLBB,23.4,6.88,3.5,6.0,0.375,0.781,0.287,6.65,4.36,2.45,0.984,59.5,15.2,9.62,2.94,3.15,0.965
DBL_L6X3_1_2X3_8X3_4SLBB,23.4,6.88,3.5,6.0,0.375,0.781,0.287,6.65,4.36,2.45,0.984,65.3,16.5,10.2,3.08,3.29,0.967
DBL_L6X3_1_2X5_16SLBB,19.6,5.78,3.5,6.0,0.313,0.756,0.241,5.68,3.65,2.07,0.991,44.7,11.6,7.45,2.78,3.02,0.96
DBL_L6X3_1_2X5_16X3_8SLBB,19.6,5.78,3.5,6.0,0.313,0.756,0.241,5.68,3.65,2.07,0.991,49.3,12.6,7.97,2.92,3.14,0.964
DBL_L6X3_1_2X5_16X3_4SLBB,19.6,5.78,3.5,6.0,0.313,0.756,0.241,5.68,3.65,2.07,0.991,54.1,13.7,8.49,3.06,3.28,0.966
DBL_L5X3_1_2X3_4SLBB,39.6,11.7,3.5,5.0,0.75,0.993,0.585,11.0,8.13,4.4,0.974,63.5,20.4,12.7,2.33,2.6,0.943
DBL_L5X3_1_2X3_4X3_8SLBB,39.6,11.7,3.5,5.0,0.75,0.993,0.585,11.0,8.13,4.4,0.974,71.4,22.6,13.8,2.47,2.73,0.949
DBL_L5X3_1_2X3_4X3_4SLBB,39.6,11.7,3.5,5.0,0.75,0.993,0.585,11.0,8.13,4.4,0.974,80.3,24.7,14.9,2.62,2.86,0.953
DBL_L5X3_1_2X5_8SLBB,33.6,9.86,3.5,5.0,0.625,0.947,0.493,9.6,6.87,3.76,0.987,52.2,16.7,10.4,2.3,2.59,0.94
DBL_L5X3_1_2X5_8X3_8SLBB,33.6,9.86,3.5,5.0,0.625,0.947,0.493,9.6,6.87,3.76,0.987,59.2,18.5,11.4,2.45,2.71,0.945
DBL_L5X3_1_2X5_8X3_4SLBB,33.6,9.86,3.5,5.0,0.625,0.947,0.493,9.6,6.87,3.76,0.987,66.1,20.4,12.3,2.59,2.85,0.95
DBL_L5X3_1_2X1_2SLBB,27.2,8.0,3.5,5.0,0.5,0.901,0.4,8.04,5.57,3.09,1.0,41.6,13.2,8.32,2.28,2.58,0.936
DBL_L5X3_1_2X1_2X3_8SLBB,27.2,8.0,3.5,5.0,0.5,0.901,0.4,8.04,5.57,3.09,1.0,46.9,14.7,9.04,2.42,2.7,0.942
DBL_L5X3_1_2X1_2X3_4SLBB,27.2,8.0,3.5,5.0,0.5,0.901,0.4,8.04,5.57,3.09,1.0,52.8,16.2,9.82,2.57,2.83,0.947
DBL_L5X3_1_2X3_8SLBB,20.8,6.1,3.5,5.0,0.375,0.854,0.305,6.31,4.23,2.38,1.02,31.2,9.76,6.24,2.26,2.56,0.933
DBL_L5X3_1_2X3_8X3_8SLBB,20.8,6.1,3.5,5.0,0.375,0.854,0.305,6.31,4.23,2.38,1.02,34.8,10.9,6.71,2.39,2.69,0.938
DBL_L5X3_1_2X3_8X3_4SLBB,20.8,6.1,3.5,5.0,0.375,0.854,0.305,6.31,4.23,2.38,1.02,39.4,12.0,7.33,2.54,2.81,0.944
DBL_L5X3_1_2X5_16SLBB,17.4,5.12,3.5,5.0,0.313,0.829,0.256,5.38,3.55,2.01,1.02,25.9,8.04,5.18,2.25,2.56,0.931
