shape,weight,area,OD,ID,tnom,tdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J
Pipe26STD,103.0,28.2,26.0,25.3,0.375,0.349,2320.0,230.0,178.0,9.07,2320.0,230.0,178.0,9.07,4640.0
Pipe24STD,94.7,26.0,24.0,23.3,0.375,0.349,1820.0,196.0,152.0,8.36,1820.0,196.0,152.0,8.36,3640.0
Pipe20STD,78.7,21.6,20.0,19.3,0.375,0.349,1040.0,135.0,104.0,6.95,1040.0,135.0,104.0,6.95,2090.0
Pipe18STD,70.7,19.4,18.0,17.3,0.375,0.349,756.0,109.0,84.0,6.24,756.0,109.0,84.0,6.24,1510.0
Pipe16STD,62.6,17.2,16.0,15.3,0.375,0.349,527.0,85.7,65.9,5.53,527.0,85.7,65.9,5.53,1050.0
Pipe14STD,54.6,15.0,14.0,13.3,0.375,0.349,350.0,65.2,50.0,4.83,350.0,65.2,50.0,4.83,700.0
Pipe12STD,49.6,13.7,12.75,12.0,0.375,0.349,262.0,53.7,41.0,4.39,262.0,53.7,41.0,4.39,523.0
Pipe10STD,40.5,11.5,10.75,10.0,0.365,0.34,151.0,36.9,28.1,3.68,151.0,36.9,28.1,3.68,302.0
Pipe8STD,28.6,7.85,8.625,7.98,0.322,0.3,68.1,20.8,15.8,2.95,68.1,20.8,15.8,2.95,136.0
Pipe6STD,19.0,5.2,6.625,6.07,0.28,0.261,26.5,10.6,7.99,2.25,26.5,10.6,7.99,2.25,52.9
Pipe5STD,14.6,4.01,5.563,5.05,0.258,0.241,14.3,6.83,5.14,1.88,14.3,6.83,5.14,1.88,28.6
Pipe4STD,10.8,2.96,4.5,4.03,0.237,0.221,6.82,4.05,3.03,1.51,6.82,4.05,3.03,1.51,13.6
Pipe3_1_2STD,9.12,2.5,4.0,3.55,0.226,0.211,4.52,3.03,2.26,1.34,4.52,3.03,2.26,1.34,9.04
Pipe3STD,7.58,2.07,3.5,3.07,0.216,0.201,2.85,2.19,1.63,1.17,2.85,2.19,1.63,1.17,5.69
Pipe2_1_2STD,5.8,1.61,2.875,2.47,0.203,0.189,1.45,1.37,1.01,0.952,1.45,1.37,1.01,0.952,2.89
Pipe2STD,3.66,1.02,2.375,2.07,0.154,0.143,0.627,0.713,0.528,0.791,0.627,0.713,0.528,0.791,1.25
Pipe1_1_2STD,2.72,0.749,1.9,1.61,0.145,0.135,0.293,0.421,0.309,0.626,0.293,0.421,0.309,0.626,0.586
Pipe1_1_4STD,2.27,0.625,1.66,1.38,0.14,0.13,0.184,0.305,0.222,0.543,0.184,0.305,0.222,0.543,0.368
Pipe1STD,1.68,0.469,1.315,1.05,0.133,0.124,0.083,0.177,0.126,0.423,0.083,0.177,0.126,0.423,0.166
Pipe3_4STD,1.13,0.312,1.05,0.824,0.113,0.105,0.035,0.0942,0.0671,0.336,0.035,0.0942,0.0671,0.336,0.07
Pipe1_2STD,0.85,0.234,0.84,0.622,0.109,0.101,0.016,0.0555,0.0388,0.264,0.016,0.0555,0.0388,0.264,0.032
Pipe26XS,136.0,36.1,26.0,25.1,0.5,0.465,2950.0,294.0,227.0,9.03,2950.0,294.0,227.0,9.03,5900.0
Pipe24XS,126.0,33.3,24.0,23.1,0.5,0.465,2310.0,250.0,192.0,8.33,2310.0,250.0,192.0,8.33,4620.0
Pipe20XS,104.0,27.6,20.0,19.1,0.5,0.465,1320.0,172.0,132.0,6.91,1320.0,172.0,132.0,6.91,2640.0
Pipe18XS,93.5,24.8,18.0,17.1,0.5,0.465,956.0,139.0,106.0,6.21,956.0,139.0,106.0,6.21,1910.0
Pipe16XS,82.9,22.0,16.0,15.1,0.5,0.465,665.0,109.0,83.1,5.5,665.0,109.0,83.1,5.5,1330.0
Pipe14XS,72.2,19.2,14.0,13.1,0.5,0.465,440.0,82.7,62.9,4.79,440.0,82.7,62.9,4.79,880.0
Pipe12XS,65.5,17.5,12.75,11.8,0.5,0.465,339.0,70.2,53.2,4.35,339.0,70.2,53.2,4.35,678.0
Pipe10XS,54.8,15.1,10.75,9.75,0.5,0.465,199.0,49.2,37.0,3.64,199.0,49.2,37.0,3.64,398.0
Pipe8XS,43.4,11.9,8.625,7.63,0.5,0.465,100.0,31.0,23.1,2.89,100.0,31.0,23.1,2.89,199.0
Pipe6XS,28.6,7.83,6.625,5.76,0.432,0.403,38.3,15.6,11.6,2.2,38.3,15.6,11.6,2.2,76.6
Pipe5XS,20.8,5.73,5.563,4.81,0.375,0.349,19.5,9.5,7.02,1.85,19.5,9.5,7.02,1.85,39.0
Pipe4XS,15.0,4.14,4.5,3.83,0.337,0.315,9.12,5.53,4.05,1.48,9.12,5.53,4.05,1.48,18.2
Pipe3_1_2XS,12.5,3.43,4.0,3.36,0.318,0.296,5.94,4.07,2.97,1.31,5.94,4.07,2.97,1.31,11.9
Pipe3XS,10.3,2.83,3.5,2.9,0.3,0.28,3.7,2.91,2.11,1.14,3.7,2.91,2.11,1.14,7.4
Pipe2_1_2XS,7.67,2.1,2.875,2.32,0.276,0.257,1.83,1.77,1.27,0.93,1.83,1.77,1.27,0.93,3.66
Pipe2XS,5.03,1.4,2.375,1.94,0.218,0.204,0.827,0.964,0.696,0.771,0.827,0.964,0.696,0.771,1.65
Pipe1_1_2XS,3.63,1.0,1.9,1.5,0.2,0.186,0.372,0.549,0.392,0.61,0.372,0.549,0.392,0.61,0.744
Pipe1_1_4XS,3.0,0.837,1.66,1.28,0.191,0.178,0.231,0.393,0.278,0.528,0.231,0.393,0.278,0.528,0.462
Pipe1XS,2.17,0.602,1.315,0.957,0.179,0.166,0.101,0.221,0.154,0.41,0.101,0.221,0.154,0.41,0.202
Pipe3_4XS,1.48,0.407,1.05,0.742,0.154,0.143,0.043,0.119,0.0818,0.325,0.043,0.119,0.0818,0.325,0.086
Pipe1_2XS,1.09,0.303,0.84,0.546,0.147,0.137,0.019,0.0686,0.0462,0.253,0.019,0.0686,0.0462,0.253,0.038
Pipe12XXS,126.0,35.4,12.75,10.9,1.0,0.93,625.0,134.0,97.6,4.2,625.0,134.0,97.6,4.2,1250.0
Pipe10XXS,104.0,28.8,10.75,8.94,1.0,0.93,354.0,90.9,65.6,3.51,354.0,90.9,65.6,3.51,709.0
Pipe8XXS,72.5,20.0,8.625,6.88,0.875,0.816,154.0,49.9,35.8,2.78,154.0,49.9,35.8,2.78,308.0
Pipe6XXS,53.2,14.7,6.625,4.9,0.864,0.805,63.5,27.4,19.2,2.08,63.5,27.4,19.2,2.08,127.0
Pipe5XXS,38.6,10.7,5.563,4.06,0.75,0.699,32.2,16.7,11.6,1.74,32.2,16.7,11.6,1.74,64.4
Pipe4XXS,27.6,7.66,4.5,3.15,0.674,0.628,14.7,9.5,6.53,1.39,14.7,9.5,6.53,1.39,29.4
Pipe3XXS,18.6,5.17,3.5,2.3,0.6,0.559,5.79,4.89,3.31,1.06,5.79,4.89,3.31,1.06,11.6
Pipe2_1_2XXS,13.7,3.83,2.875,1.77,0.552,0.514,2.78,2.91,1.94,0.854,2.78,2.91,1.94,0.854,5.56
Pipe2XXS,9.04,2.51,2.375,1.5,0.436,0.406,1.27,1.6,1.07,0.711,1.27,1.6,1.07,0.711,2.54
