shape,weight,area,d,bf,tw,tf,k,y,yp,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,ro,H,PA,PB,PC,PD,WGi,WGo
WT7X185,185.0,54.4,8.96,16.5,1.66,2.66,3.26,2.19,1.65,229.0,74.4,33.9,2.05,994.0,185.0,121.0,4.27,110.0,640.0,4.82,0.968,33.4,49.9,34.4,50.9,7.5,3
WT7X171,171.0,50.3,8.77,16.4,1.54,2.47,3.07,2.09,1.54,203.0,66.2,30.4,2.01,903.0,169.0,110.0,4.24,88.3,502.0,4.77,0.968,32.9,49.3,33.9,50.3,7.5,3
WT7X155_5,155.5,45.7,8.56,16.2,1.41,2.26,2.86,1.97,1.41,176.0,57.7,26.7,1.96,807.0,152.0,99.4,4.2,67.5,375.0,4.71,0.969,32.3,48.5,33.3,49.5,7.5,3
WT7X141_5,141.5,41.6,8.37,16.1,1.29,2.07,2.67,1.86,1.29,153.0,50.4,23.5,1.92,722.0,137.0,89.7,4.17,51.8,281.0,4.66,0.969,31.8,47.9,32.8,48.9,7.5,3
WT7X128_5,128.5,37.8,8.19,16.0,1.18,1.89,2.49,1.75,1.18,133.0,43.9,20.7,1.88,645.0,123.0,80.7,4.13,39.3,209.0,4.61,0.969,31.4,47.4,32.4,48.4,7.5,3
WT7X116_5,116.5,34.2,8.02,15.9,1.07,1.72,2.32,1.65,1.08,116.0,38.2,18.2,1.84,576.0,110.0,72.5,4.1,29.6,154.0,4.57,0.97,30.9,46.8,31.9,47.8,7.5,3
WT7X105_5,105.5,31.0,7.86,15.8,0.98,1.56,2.16,1.57,0.98,102.0,33.4,16.2,1.81,513.0,98.9,65.0,4.07,22.2,113.0,4.52,0.97,30.5,46.3,31.5,47.3,7.5,3
WT7X96_5,96.5,28.4,7.74,15.7,0.89,1.44,2.04,1.49,0.903,89.8,29.4,14.4,1.78,466.0,90.1,59.3,4.05,17.3,87.2,4.49,0.971,30.2,45.9,31.2,46.9,7.5,3
WT7X88,88.0,25.9,7.61,15.7,0.83,1.31,1.91,1.43,0.827,80.5,26.3,13.0,1.76,419.0,81.3,53.5,4.02,13.2,65.2,4.46,0.97,29.9,45.6,30.9,46.6,7.5,3
WT7X79_5,79.5,23.4,7.49,15.6,0.745,1.19,1.79,1.35,0.751,70.2,22.8,11.4,1.73,374.0,73.0,48.1,4.0,9.84,47.9,4.43,0.971,29.6,45.2,30.6,46.2,7.5,3
WT7X72_5,72.5,21.3,7.39,15.5,0.68,1.09,1.69,1.29,0.688,62.5,20.2,10.2,1.71,338.0,66.2,43.7,3.98,7.56,36.3,4.4,0.971,29.3,44.8,30.3,45.8,7.5,3
WT7X66,66.0,19.4,7.33,14.7,0.645,1.03,1.63,1.29,0.658,57.8,18.6,9.57,1.73,274.0,56.5,37.2,3.76,6.13,26.6,4.21,0.966,28.3,43.0,29.4,44.1,5.5,–
WT7X60,60.0,17.7,7.24,14.7,0.59,0.94,1.54,1.24,0.602,51.7,16.5,8.61,1.71,247.0,51.2,33.7,3.74,4.67,20.0,4.19,0.966,28.2,42.9,29.2,43.9,5.5,–
WT7X54_5,54.5,16.0,7.16,14.6,0.525,0.86,1.46,1.17,0.548,45.3,14.4,7.56,1.68,223.0,46.3,30.6,3.73,3.55,15.0,4.16,0.968,27.9,42.5,28.9,43.5,5.5,–
WT7X49_5,49.5,14.6,7.08,14.6,0.485,0.78,1.38,1.14,0.5,40.9,12.9,6.88,1.67,201.0,41.8,27.6,3.71,2.68,11.1,4.14,0.967,27.7,42.3,28.8,43.4,5.5,–
WT7X45,45.0,13.2,7.01,14.5,0.44,0.71,1.31,1.09,0.456,36.5,11.5,6.16,1.66,181.0,37.8,25.0,3.7,2.03,8.31,4.12,0.968,27.5,42.0,28.5,43.0,5.5,–
WT7X41,41.0,12.0,7.16,10.1,0.51,0.855,1.45,1.39,0.593,41.2,13.2,7.14,1.85,74.1,22.4,14.6,2.48,2.53,5.63,3.24,0.912,23.7,33.8,24.4,34.5,5.5,–
WT7X37,37.0,10.9,7.09,10.1,0.45,0.785,1.38,1.32,0.541,36.0,11.5,6.25,1.82,66.9,20.2,13.3,2.48,1.93,4.19,3.21,0.916,23.6,33.7,24.3,34.4,5.5,–
WT7X34,34.0,10.0,7.02,10.0,0.415,0.72,1.31,1.29,0.498,32.6,10.4,5.69,1.81,60.7,18.4,12.1,2.46,1.5,3.21,3.19,0.916,23.4,33.4,24.0,34.0,5.5,–
WT7X30_5,30.5,8.96,6.95,10.0,0.375,0.645,1.24,1.25,0.448,28.9,9.15,5.07,1.8,53.7,16.4,10.7,2.45,1.09,2.29,3.17,0.915,23.2,33.2,23.9,33.9,5.5,–
WT7X26_5,26.5,7.8,6.96,8.06,0.37,0.66,1.25,1.38,0.484,27.6,8.87,4.94,1.88,28.8,11.0,7.15,1.92,0.967,1.46,2.89,0.868,21.3,29.4,22.0,30.0,5.5,–
WT7X24,24.0,7.07,6.9,8.03,0.34,0.595,1.19,1.35,0.44,24.9,8.0,4.49,1.88,25.7,9.8,6.4,1.91,0.723,1.07,2.87,0.866,21.1,29.2,21.8,29.9,5.5,–
WT7X21_5,21.5,6.31,6.83,8.0,0.305,0.53,1.12,1.31,0.395,21.9,7.05,3.98,1.86,22.6,8.64,5.65,1.89,0.522,0.751,2.86,0.865,21.0,29.0,21.7,29.7,5.5,–
WT7X19,19.0,5.58,7.05,6.77,0.31,0.515,0.915,1.54,0.412,23.3,7.45,4.22,2.04,13.3,6.07,3.94,1.55,0.398,0.554,2.86,0.799,20.4,27.1,20.9,27.6,3.5,–
WT7X17,17.0,5.0,6.99,6.75,0.285,0.455,0.855,1.53,0.371,20.9,6.74,3.83,2.04,11.6,5.32,3.45,1.53,0.284,0.4,2.87,0.792,20.2,27.0,20.7,27.5,3.5,–
WT7X15,15.0,4.42,6.92,6.73,0.27,0.385,0.785,1.58,0.329,19.0,6.25,3.55,2.07,9.79,4.49,2.91,1.49,0.19,0.287,2.9,0.772,20.1,26.8,20.6,27.3,3.5,–
WT7X13,13.0,3.85,6.96,5.03,0.255,0.42,0.82,1.72,0.383,17.3,5.89,3.31,2.12,4.45,2.76,1.77,1.08,0.179,0.207,2.82,0.712,18.4,23.5,19.0,24.0,2.75,–
WT7X11,11.0,3.25,6.87,5.0,0.23,0.335,0.735,1.76,0.325,14.8,5.2,2.91,2.14,3.5,2.19,1.4,1.04,0.104,0.134,2.86,0.689,18.2,23.2,18.7,23.7,2.75,–
WT6X168,168.0,49.5,8.41,13.4,1.78,2.96,3.55,2.31,1.84,190.0,68.4,31.2,1.96,593.0,137.0,88.6,3.47,120.0,481.0,4.07,0.958,29.5,42.9,30.2,43.6,5.5,–
WT6X152_5,152.5,44.7,8.16,13.2,1.63,2.71,3.3,2.16,1.69,162.0,59.1,27.0,1.9,525.0,122.0,79.3,3.42,92.0,356.0,4.0,0.959,28.8,42.0,29.5,42.7,5.5,–
WT6X139_5,139.5,41.0,7.93,13.1,1.53,2.47,3.07,2.05,1.56,141.0,51.9,24.1,1.86,469.0,110.0,71.3,3.38,70.9,267.0,3.94,0.958,28.3,41.4,29.0,42.1,5.5,–
WT6X126,126.0,37.1,7.71,13.0,1.4,2.25,2.85,1.92,1.42,121.0,44.8,20.9,1.81,414.0,97.9,63.6,3.34,53.5,195.0,3.88,0.958,27.7,40.7,28.4,41.4,5.5,–
WT6X115,115.0,33.8,7.53,12.9,1.29,2.07,2.67,1.82,1.31,106.0,39.4,18.5,1.77,371.0,88.4,57.5,3.31,41.6,148.0,3.83,0.958,27.3,40.2,28.0,40.9,5.5,–
WT6X105,105.0,30.9,7.36,12.8,1.18,1.9,2.5,1.72,1.21,92.1,34.5,16.4,1.73,332.0,79.7,51.9,3.28,32.1,112.0,3.79,0.958,26.8,39.6,27.5,40.3,5.5,–
WT6X95,95.0,28.0,7.19,12.7,1.06,1.74,2.33,1.62,1.1,79.0,29.8,14.2,1.68,295.0,71.2,46.5,3.25,24.3,82.1,3.73,0.96,26.4,39.1,27.1,39.8,5.5,–
WT6X85,85.0,25.0,7.02,12.6,0.96,1.56,2.16,1.52,0.994,67.8,25.6,12.3,1.65,259.0,62.9,41.2,3.22,17.7,58.3,3.69,0.96,26.0,38.6,26.6,39.2,5.5,–
WT6X76,76.0,22.4,6.86,12.5,0.87,1.4,2.0,1.43,0.896,58.5,22.0,10.8,1.62,227.0,55.6,36.4,3.19,12.8,41.3,3.65,0.96,25.5,38.0,26.2,38.7,5.5,–
WT6X68,68.0,20.0,6.71,12.4,0.79,1.25,1.85,1.35,0.805,50.6,19.0,9.46,1.59,199.0,48.9,32.1,3.16,9.21,28.9,3.61,0.959,25.1,37.5,25.8,38.2,5.5,–
WT6X60,60.0,17.6,6.56,12.3,0.71,1.11,1.7,1.28,0.716,43.4,16.2,8.22,1.57,172.0,42.7,28.0,3.13,6.42,19.7,3.57,0.959,24.7,37.0,25.4,37.7,5.5,–
WT6X53,53.0,15.6,6.45,12.2,0.61,0.99,1.59,1.19,0.637,36.3,13.6,6.92,1.53,151.0,37.5,24.7,3.11,4.55,13.6,3.53,0.961,24.4,36.6,25.1,37.3,5.5,–
WT6X48,48.0,14.1,6.36,12.2,0.55,0.9,1.5,1.13,0.58,32.0,11.9,6.12,1.51,135.0,33.7,22.2,3.09,3.42,10.1,3.51,0.962,24.2,36.4,24.9,37.1,5.5,–
WT6X43_5,43.5,12.8,6.27,12.1,0.515,0.81,1.41,1.1,0.527,28.9,10.7,5.6,1.5,120.0,30.2,19.9,3.07,2.54,7.34,3.49,0.96,24.0,36.1,24.6,36.7,5.5,–
WT6X39_5,39.5,11.6,6.19,12.1,0.47,0.735,1.33,1.06,0.48,25.8,9.49,5.03,1.49,108.0,27.1,17.9,3.05,1.91,5.43,3.47,0.96,23.8,35.9,24.5,36.6,5.5,–
WT6X36,36.0,10.6,6.13,12.0,0.43,0.67,1.27,1.02,0.439,23.2,8.48,4.54,1.48,97.5,24.6,16.2,3.04,1.46,4.07,3.45,0.96,23.6,35.6,24.3,36.3,5.5,–
WT6X32_5,32.5,9.54,6.06,12.0,0.39,0.605,1.2,0.985,0.398,20.6,7.5,4.06,1.47,87.2,22.0,14.5,3.02,1.09,2.97,3.43,0.96,23.4,35.4,24.1,36.1,5.5,–
WT6X29,29.0,8.52,6.1,10.0,0.36,0.64,1.24,1.03,0.426,19.1,6.97,3.76,1.5,53.5,16.2,10.7,2.51,1.05,2.08,3.0,0.944,21.6,31.6,22.2,32.2,5.5,–
WT6X26_5,26.5,7.78,6.03,10.0,0.345,0.575,1.18,1.02,0.389,17.7,6.46,3.54,1.51,47.9,14.5,9.58,2.48,0.788,1.53,3.0,0.939,21.5,31.5,22.1,32.1,5.5,–
WT6X25,25.0,7.3,6.1,8.08,0.37,0.64,1.14,1.17,0.452,18.7,6.88,3.79,1.6,28.2,10.6,6.97,1.96,0.855,1.23,2.67,0.899,19.7,27.8,20.3,28.4,5.5,–
WT6X22_5,22.5,6.56,6.03,8.05,0.335,0.575,1.08,1.13,0.408,16.6,6.1,3.39,1.59,25.0,9.47,6.21,1.95,0.627,0.885,2.66,0.898,19.5,27.6,20.1,28.2,5.5,–
WT6X20,20.0,5.84,5.97,8.01,0.295,0.515,1.02,1.09,0.365,14.4,5.28,2.95,1.57,22.0,8.38,5.5,1.94,0.452,0.62,2.63,0.901,19.3,27.4,20.0,28.0,5.5,–
WT6X17_5,17.5,5.17,6.25,6.56,0.3,0.52,0.82,1.3,0.394,16.0,5.71,3.23,1.76,12.2,5.73,3.73,1.54,0.369,0.437,2.56,0.834,18.5,25.1,19.1,25.6,3.5,–
WT6X15,15.0,4.4,6.17,6.52,0.26,0.44,0.74,1.27,0.337,13.5,4.83,2.75,1.75,10.2,4.78,3.12,1.52,0.228,0.267,2.54,0.83,18.3,24.9,18.9,25.4,3.5,–
WT6X13,13.0,3.82,6.11,6.49,0.23,0.38,0.68,1.25,0.295,11.7,4.2,2.4,1.75,8.66,4.08,2.67,1.51,0.15,0.174,2.54,0.827,18.2,24.7,18.7,25.2,3.5,–
WT6X11,11.0,3.24,6.16,4.03,0.26,0.425,0.725,1.63,0.402,11.7,4.63,2.59,1.9,2.33,1.83,1.15,0.847,0.146,0.137,2.52,0.683,16.0,20.0,16.4,20.4,2.25,–
WT6X9_5,9.5,2.79,6.08,4.01,0.235,0.35,0.65,1.65,0.348,10.1,4.11,2.28,1.9,1.88,1.49,0.939,0.821,0.0899,0.0934,2.54,0.665,15.8,19.8,16.2,20.2,2.25,–
WT6X8,8.0,2.36,6.0,3.99,0.22,0.265,0.565,1.74,0.639,8.7,3.72,2.04,1.92,1.41,1.13,0.706,0.773,0.0511,0.0678,2.62,0.624,15.6,19.6,16.0,20.0,2.25,–
WT6X7,7.0,2.08,5.96,3.97,0.2,0.225,0.525,1.76,0.76,7.67,3.32,1.83,1.92,1.18,0.947,0.593,0.753,0.035,0.0493,2.64,0.611,15.5,19.5,15.9,19.9,2.25,–
WT5X56,56.0,16.5,5.68,10.4,0.755,1.25,1.75,1.21,0.791,28.6,13.4,6.4,1.32,118.0,34.6,22.6,2.67,7.5,16.9,3.04,0.963,21.2,31.6,21.8,32.2,5.5,–
WT5X50,50.0,14.7,5.55,10.3,0.68,1.12,1.62,1.13,0.711,24.5,11.4,5.56,1.29,103.0,30.5,20.0,2.65,5.41,11.9,3.0,0.964,20.9,31.2,21.4,31.7,5.5,–
WT5X44,44.0,13.0,5.42,10.3,0.605,0.99,1.49,1.06,0.631,20.8,9.65,4.77,1.27,89.3,26.5,17.4,2.63,3.75,8.02,2.97,0.964,20.6,30.9,21.1,31.4,5.5,–
WT5X38_5,38.5,11.3,5.3,10.2,0.53,0.87,1.37,0.99,0.555,17.4,8.06,4.05,1.24,76.8,22.9,15.1,2.6,2.55,5.31,2.94,0.964,20.3,30.5,20.8,31.0,5.5,–
WT5X34,34.0,10.0,5.2,10.1,0.47,0.77,1.27,0.932,0.493,14.9,6.85,3.49,1.22,66.7,20.0,13.2,2.58,1.78,3.62,2.91,0.965,20.0,30.1,20.5,30.6,5.5,–
WT5X30,30.0,8.84,5.11,10.1,0.42,0.68,1.18,0.884,0.438,12.9,5.87,3.04,1.21,58.1,17.5,11.5,2.57,1.23,2.46,2.89,0.964,19.8,29.9,20.3,30.4,5.5,–
WT5X27,27.0,7.9,5.05,10.0,0.37,0.615,1.12,0.836,0.395,11.1,5.05,2.64,1.19,51.7,15.6,10.3,2.56,0.909,1.78,2.87,0.966,19.6,29.6,20.1,30.1,5.5,–
WT5X24_5,24.5,7.21,4.99,10.0,0.34,0.56,1.06,0.807,0.361,10.0,4.52,2.39,1.18,46.7,14.1,9.34,2.54,0.693,1.33,2.85,0.966,19.5,29.5,20.0,30.0,5.5,–
WT5X22_5,22.5,6.63,5.05,8.02,0.35,0.62,1.12,0.907,0.413,10.2,4.65,2.47,1.24,26.7,10.1,6.65,2.01,0.753,0.981,2.43,0.94,17.6,25.6,18.1,26.1,5.5,–
WT5X19_5,19.5,5.73,4.96,7.99,0.315,0.53,1.03,0.876,0.359,8.84,3.99,2.16,1.24,22.5,8.57,5.64,1.98,0.487,0.616,2.42,0.936,17.4,25.4,17.9,25.9,5.5,–
WT5X16_5,16.5,4.85,4.87,7.96,0.29,0.435,0.935,0.869,0.305,7.71,3.48,1.93,1.26,18.3,7.0,4.6,1.94,0.291,0.356,2.4,0.927,17.2,25.1,17.7,25.7,5.5,–
WT5X15,15.0,4.42,5.24,5.81,0.3,0.51,0.81,1.1,0.38,9.28,4.01,2.24,1.45,8.35,4.41,2.87,1.37,0.31,0.273,2.17,0.849,15.9,21.7,16.3,22.1,2.75,–
WT5X13,13.0,3.81,5.17,5.77,0.26,0.44,0.74,1.06,0.33,7.86,3.39,1.91,1.44,7.05,3.75,2.44,1.36,0.201,0.173,2.15,0.848,15.7,21.5,16.1,21.9,2.75,–
WT5X11,11.0,3.24,5.09,5.75,0.24,0.36,0.66,1.07,0.282,6.88,3.02,1.72,1.46,5.71,3.05,1.99,1.33,0.119,0.107,2.16,0.83,15.5,21.3,15.9,21.7,2.75,–
WT5X9_5,9.5,2.81,5.12,4.02,0.25,0.395,0.695,1.28,0.349,6.68,3.1,1.74,1.54,2.15,1.67,1.07,0.874,0.116,0.0796,2.08,0.729,13.9,17.9,14.3,18.3,2.25,–
WT5X8_5,8.5,2.5,5.06,4.01,0.24,0.33,0.63,1.32,0.311,6.06,2.9,1.62,1.56,1.78,1.4,0.887,0.844,0.0776,0.061,2.11,0.703,13.8,17.8,14.1,18.1,2.25,–
WT5X7_5,7.5,2.21,5.0,4.0,0.23,0.27,0.57,1.37,0.305,5.45,2.71,1.5,1.57,1.45,1.15,0.723,0.81,0.0518,0.0475,2.16,0.672,13.6,17.6,14.0,18.0,2.25,–
WT5X6,6.0,1.77,4.94,3.96,0.19,0.21,0.51,1.36,0.322,4.35,2.2,1.22,1.57,1.09,0.869,0.551,0.785,0.0272,0.0255,2.16,0.661,13.5,17.4,13.8,17.8,2.25,–
WT4X33_5,33.5,9.84,4.5,8.28,0.57,0.935,1.33,0.936,0.594,10.9,6.29,3.05,1.05,44.3,16.3,10.7,2.12,2.51,3.56,2.41,0.962,16.8,25.0,17.3,25.6,5.5,–
WT4X29,29.0,8.54,4.38,8.22,0.51,0.81,1.2,0.874,0.52,9.12,5.25,2.61,1.03,37.5,13.9,9.13,2.1,1.66,2.28,2.38,0.961,16.5,24.7,17.0,25.2,5.5,–
WT4X24,24.0,7.05,4.25,8.11,0.4,0.685,1.08,0.777,0.435,6.85,3.94,1.97,0.986,30.5,11.4,7.51,2.08,0.977,1.3,2.34,0.966,16.1,24.2,16.6,24.7,5.5,–
WT4X20,20.0,5.87,4.13,8.07,0.36,0.56,0.954,0.735,0.364,5.73,3.25,1.69,0.988,24.5,9.24,6.08,2.04,0.558,0.715,2.32,0.961,15.8,23.9,16.3,24.4,5.5,–
WT4X17_5,17.5,5.14,4.06,8.02,0.31,0.495,0.889,0.688,0.321,4.82,2.71,1.43,0.968,21.3,8.05,5.31,2.03,0.384,0.48,2.3,0.963,15.6,23.6,16.1,24.2,5.5,–
WT4X15_5,15.5,4.56,4.0,8.0,0.285,0.435,0.829,0.668,0.285,4.28,2.39,1.28,0.969,18.5,7.03,4.64,2.02,0.267,0.327,2.28,0.961,15.5,23.5,16.0,24.0,5.5,–
WT4X14,14.0,4.12,4.03,6.54,0.285,0.465,0.859,0.734,0.315,4.23,2.38,1.28,1.01,10.8,5.04,3.31,1.62,0.268,0.23,1.98,0.935,14.2,20.8,14.6,21.1,4.0,–
WT4X12,12.0,3.54,3.97,6.5,0.245,0.4,0.794,0.695,0.272,3.53,1.98,1.08,0.999,9.14,4.28,2.81,1.61,0.173,0.144,1.96,0.936,14.1,20.6,14.4,20.9,4.0,–
WT4X10_5,10.5,3.08,4.14,5.27,0.25,0.4,0.7,0.831,0.292,3.9,2.11,1.18,1.12,4.88,2.84,1.85,1.26,0.141,0.0916,1.8,0.877,13.2,18.5,13.6,18.8,2.75,–
WT4X9,9.0,2.63,4.07,5.25,0.23,0.33,0.63,0.834,0.251,3.41,1.86,1.05,1.14,3.98,2.33,1.52,1.23,0.0855,0.0562,1.8,0.863,13.1,18.3,13.4,18.6,2.75,–
WT4X7_5,7.5,2.22,4.06,4.02,0.245,0.315,0.615,0.998,0.276,3.28,1.91,1.07,1.22,1.7,1.33,0.849,0.876,0.0679,0.0382,1.72,0.76,11.8,15.8,12.1,16.2,2.25,–
WT4X6_5,6.5,1.92,4.0,4.0,0.23,0.255,0.555,1.03,0.24,2.89,1.74,0.974,1.23,1.36,1.07,0.682,0.843,0.0433,0.0269,1.74,0.733,11.7,15.7,12.0,16.0,2.25,–
WT4X5,5.0,1.48,3.95,3.94,0.17,0.205,0.505,0.953,0.188,2.15,1.27,0.717,1.2,1.05,0.826,0.531,0.84,0.0212,0.0114,1.7,0.749,11.5,15.4,11.8,15.8,2.25,–
WT3X12_5,12.5,3.67,3.19,6.08,0.32,0.455,0.705,0.61,0.302,2.29,1.68,0.886,0.789,8.53,4.28,2.81,1.52,0.229,0.171,1.76,0.953,12.1,18.2,12.5,18.5,3.5,–
WT3X10,10.0,2.94,3.1,6.02,0.26,0.365,0.615,0.56,0.244,1.76,1.29,0.693,0.774,6.64,3.36,2.21,1.5,0.12,0.0858,1.73,0.953,11.9,17.9,12.2,18.2,3.5,–
WT3X7_5,7.5,2.21,3.0,5.99,0.23,0.26,0.51,0.558,0.185,1.41,1.03,0.577,0.797,4.66,2.37,1.56,1.45,0.0504,0.0342,1.71,0.937,11.7,17.6,12.0,18.0,3.5,–
WT3X8,8.0,2.37,3.14,4.03,0.26,0.405,0.655,0.676,0.294,1.69,1.25,0.685,0.844,2.21,1.69,1.1,0.966,0.111,0.0426,1.37,0.88,10.0,14.0,10.3,14.3,2.25,–
WT3X6,6.0,1.78,3.02,4.0,0.23,0.28,0.53,0.677,0.222,1.32,1.01,0.564,0.862,1.5,1.16,0.748,0.918,0.0449,0.0178,1.37,0.846,9.7,13.7,10.0,14.0,2.25,–
WT3X4_5,4.5,1.34,2.95,3.94,0.17,0.215,0.465,0.623,0.17,0.95,0.72,0.408,0.842,1.1,0.856,0.557,0.905,0.0202,0.00736,1.34,0.852,9.5,13.4,9.84,13.8,2.25,–
WT3X4_25,4.25,1.26,2.92,3.94,0.17,0.195,0.445,0.637,0.16,0.905,0.7,0.397,0.848,0.995,0.778,0.505,0.89,0.0166,0.0062,1.34,0.839,9.44,13.4,9.78,13.7,2.25,–
WT2_5X9_5,9.5,2.78,2.58,5.03,0.27,0.43,0.73,0.487,0.276,1.01,0.97,0.485,0.604,4.56,2.76,1.81,1.28,0.157,0.0775,1.44,0.964,9.93,15.0,10.2,15.2,2.75,–
WT2_5X8,8.0,2.35,2.51,5.0,0.24,0.36,0.66,0.458,0.235,0.845,0.801,0.413,0.599,3.75,2.28,1.5,1.26,0.0958,0.0453,1.43,0.962,9.76,14.8,10.0,15.0,2.75,–
WT2X6_5,6.5,1.91,2.08,4.06,0.28,0.345,0.595,0.44,0.236,0.526,0.616,0.321,0.524,1.93,1.46,0.95,1.0,0.075,0.0233,1.16,0.947,7.95,12.0,8.22,12.3,2.25,–
